150_min_median_max.txt: median X	150_min_median_max.txt: median Y	200_min_median_max.txt: median X	200_min_median_max.txt: median Y
26.75	0.0241431173252	26.75	0.0170791737422
27.0	0.0214043910228	27.0	0.0049327870155
27.25	0.0133281658717	27.25	0.00345467688519
27.5	0.00750441915064	27.5	-0.00468798353564
27.75	0.000160587564013	27.75	-0.0226333361302
28.0	-0.00387553792069	28.0	-0.0160961085119
28.25	-0.00655123742811	28.25	-0.00924171026943
28.5	-0.00531317263646	28.5	0.000409065744954
28.75	-0.0091416655377	28.75	0.00868762218381
29.0	-0.0120475171907	29.0	0.00825857776771
29.25	-0.0146732594251	29.25	0.0141933923392
29.5	-0.0151241352324	29.5	0.0237181594684
29.75	-0.0183604465273	29.75	0.0290942527588
30.0	-0.0137802949384	30.0	0.0363064553745
30.25	-0.0110676455627	30.25	0.0330194042843
30.5	-0.0138250029551	30.5	0.0400529449604
30.75	-0.00729766821317	30.75	0.0370475189524
31.0	-0.0084145942027	31.0	0.0297398680704
31.25	-0.0127283233939
31.5	-0.00760604281831
31.75	-0.0124422302243
32.0	-0.0173203839439
32.25	-0.014961974077
32.5	-0.019202051175
32.75	-0.0226303120493
33.0	-0.022126665443
33.25	-0.0275880257636
33.5	-0.0210225237309
33.75	-0.023235817263
34.0	-0.0269012018343
34.25	-0.0262896394562
34.5	-0.020278859295
34.75	-0.0211328693005
35.0	-0.0203839391799
35.25	-0.0226620638591
35.5	-0.0211159548266
35.75	-0.0229495996793
36.0	-0.0167775630063
36.25	-0.0135554285933
36.5	-0.00765166174045
36.75	-0.00578172664328
37.0	-0.00392023173342
37.25	0.000838634867141
37.5	-0.00146648472548
37.75	0.00176415427244
38.0	0.00329798803228
38.25	0.0048434434999
38.5	0.000324550827739
38.75	0.00168866292824
39.0	0.00279933586189
39.25	-0.0010827527361
39.5	-0.0038325177803
39.75	-0.000187732932232
40.0	-0.00713906849499
40.25	-0.0058580365263
40.5	-0.00888225613737
40.75	-0.0131318403691
41.0	-0.00908910103421
41.25	-0.0124219915745
41.5	-0.0146232333928
41.75	-0.0215615352204
42.0	-0.0209514900572
42.25	-0.0259315667549
42.5	-0.0276989469413
42.75	-0.0257331474812
