150_min_median_max.txt: median X	150_min_median_max.txt: median Y	200_min_median_max.txt: median X	200_min_median_max.txt: median Y
29.5	0.747708377778	29.5	0.967761360126
29.75	0.770538571186	29.75	0.963506091571
30.0	0.784622006648	30.0	0.957268896925
30.25	0.799615401808	30.25	0.961403733267
30.5	0.819105663838	30.5	0.955107065638
30.75	0.828333343994	30.75	0.958752739406
31.0	0.844232510921	31.0	0.966616511337
31.25	0.86236958304
31.5	0.870133207533
31.75	0.886945707742
32.0	0.902923632372
32.25	0.910825577271
32.5	0.92452674124
32.75	0.936659033205
33.0	0.944145784341
33.25	0.956927798283
33.5	0.957056928359
33.75	0.965381861456
34.0	0.974617801262
34.25	0.979076161666
34.5	0.977673413852
34.75	0.982710416506
35.0	0.985754279525
35.25	0.991467760798
35.5	0.993030234508
35.75	0.99767426311
36.0	0.994040938825
36.25	0.993110388232
36.5	0.989273713225
36.75	0.989267198598
37.0	0.989084555234
37.25	0.985837457828
37.5	0.989503239041
37.75	0.987496720897
38.0	0.987063728026
38.25	0.986507887161
38.5	0.991916109622
38.75	0.991350962093
39.0	0.990957871581
39.25	0.995484287132
39.5	0.998812468813
39.75	0.995686823509
40.0	1.00310400727
40.25	1.0022409299
40.5	1.00564007497
40.75	1.01022593689
41.0	1.00648477169
41.25	1.01008808183
41.5	1.01253178077
41.75	1.01968744713
42.0	1.01927225324
42.25	1.0244269854
42.5	1.02635090679
42.75	1.02452540345
43.0	1.02486719091
43.25	1.02357484339
43.5	1.01266614592
43.75	1.01413857744
44.0	1.02205297004
44.25	1.01725037915
44.5	1.01259634587
44.75	1.01446244958
45.0	1.01356493759
45.25	1.00855480792
45.5	0.998941947894
45.75	1.00243357806
46.0	1.0
