X	150_min_median_max.txt: median	200_min_median_max.txt: median
0.0	0.0	0.0
0.464646464646	1.01779824579e-06	1.6928521368e-06
0.929292929293	4.10312670063e-06	6.86124727944e-06
1.39393939394	9.35282843195e-06	1.57795499903e-05
1.85858585859	1.69317036574e-05	2.89212217103e-05
2.32323232323	2.70776759697e-05	4.69839211715e-05
2.78787878788	4.01092509593e-05	7.09264849327e-05
3.25252525253	5.64354996896e-05	0.000102019735854
3.71717171717	7.65688779899e-05	0.000141913792197
4.18181818182	0.000101141280504	0.000192725411213
4.64646464646	0.000130923828442	0.000257149941187
5.11111111111	0.00016685100502	0.000338603724811
5.57575757576	0.000210049885917	0.000441404353938
6.0404040404	0.000261875367573	0.000570998090847
6.50505050505	0.000323952478034	0.000734246125638
6.9696969697	0.000398227068286	0.000939784226226
7.43434343434	0.000487026432143	0.00119847385945
7.89898989899	0.000593131695871	0.00152396712672
8.36363636364	0.000719864161901	0.00193341296733
8.82828282828	0.000871188191472	0.00244833811333
9.29292929293	0.00105183367687	0.00309574324745
9.75757575758	0.00126744169301	0.00390946261644
10.2222222222	0.00152473753799	0.00493184366859
10.6868686869	0.00183173607896	0.00621581143155
11.1515151515	0.00219798511705	0.00782738904251
11.6161616162	0.00263485337112	0.00984874885662
12.0808080808	0.00315587064652	0.0123818642091
12.5454545455	0.00377712877918	0.015552814364
13.0101010101	0.00451775298843	0.0195167555774
13.4747474747	0.0054004542651	0.0244634965995
13.9393939394	0.00645217425852	0.0306234894304
14.404040404	0.00770483464228	0.0382738426504
14.8686868687	0.00919620289304	0.0477436586904
15.3333333333	0.0109708854592	0.0594175639465
15.797979798	0.0130814569361	0.0737357334402
16.2626262626	0.0155897294241	0.0911880423498
16.7272727273	0.0185681588173	0.112299318309
17.1919191919	0.0221013731686	0.137602265723
17.6565656566	0.0262877910103	0.167594906106
18.1212121212	0.0312412727882	0.202680907702
18.5858585859	0.0370927143961	0.243094555146
19.0505050505	0.0439914461878	0.288817566877
19.5151515152	0.0521062422827	0.33950179556
19.9797979798	0.0616256732141	0.394417873662
20.4444444444	0.0727574522461	0.45245157641
20.9090909091	0.0857263385645	0.512163592355
21.3737373737	0.10077008218	0.571913628072
21.8383838384	0.118132847972	0.630030204879
22.303030303	0.138055572842	0.684991231395
22.7676767677	0.160762833839	0.735575609119
23.2323232323	0.186446084807	0.780955609075
23.696969697	0.215243595975	0.820718946986
24.1616161616	0.247218117315	0.854829358222
24.6262626263	0.282334137081	0.883547256362
25.0909090909	0.320437490614	0.907335036325
25.5555555556	0.361240763742	0.92676692895
26.0202020202	0.404318134534	0.942455328939
26.4848484848	0.449112726232	0.95499791174
26.9494949495	0.494958065124	0.964944537902
27.4141414141	0.541112982445	0.972780200845
27.8787878788	0.586806722804	0.978919507052
28.3434343434	0.631288808164	0.983708570527
28.8080808081	0.67387704055	0.987431086138
29.2727272727	0.71399731166	0.990316298576
29.7373737374	0.751210559842	0.992547399962
30.202020202	0.785224762797	0.994269504572
30.6666666667	0.815892534045	0.995596772688
31.1313131313	0.843197021753	0.996618524907
31.595959596	0.867229995217	0.997404346118
32.0606060606	0.888166204688	0.998008261336
32.5252525253	0.906237541496	0.998472101663
32.9898989899	0.921709553353	0.998828187117
33.4545454545	0.93486180997	0.999101446671
33.9191919192	0.945972692413	0.999311082497
34.3838383838	0.955308504834	0.999471869696
34.8484848485	0.963116394158	0.999595167284
35.3131313131	0.969620371216	0.999689702106
35.7777777778	0.975019692689	0.999762175178
36.2424242424	0.979488925639	0.999817729762
36.7070707071	0.983179125813	0.999860312152
37.1717171717	0.986219683595	0.999892949425
37.6363636364	0.98872050714	0.999917963059
38.101010101	0.990774311005	0.999937133104
38.5656565657	0.992458857315	0.999951824268
39.0303030303	0.993839056029	0.999963082725
39.4949494949	0.994968873715	0.999971710388
39.9595959596	0.995893029775	0.9999783219
40.4242424242	0.996648478379	0.999983388344
40.8888888889	0.997265686241	0.999987270755
41.3535353535	0.997769722976	0.999990245819
41.8181818182	0.998181183849	0.999992525577
42.2828282828	0.998516965467	0.99999427252
42.7474747475	0.998790914339	0.999995611171
43.2121212121	0.999014366724	0.999996636951
43.6767676768	0.999196596365	0.999997422984
44.1414141414	0.999345184708	0.999998025302
44.6060606061	0.999466326276	0.999998486843
45.0707070707	0.999565080035	0.99999884051
45.5353535354	0.999645575948	0.999999111515
46.0	0.999711184478	0.99999931918
